2025-06-02 23:36:54,010 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 23:39:10,412 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 23:39:10,613 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:10,818 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:11,007 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:11,151 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:11,407 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:20,426 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:20,826 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:39:20,957 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:40:45,103 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:45,240 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:45,377 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:45,496 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:45,622 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:45,787 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:45,965 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:46,106 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:48,749 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 23:40:48,870 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:43:30,190 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:43:51,443 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:38,028 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:38,176 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:38,464 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:38,631 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:38,873 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:39,036 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:39,198 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:39,340 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:41,379 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:44,453 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:48,522 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:51,624 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:54,879 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:55,029 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:55,205 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:55,372 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:48:55,592 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:49:03,736 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
