2025-06-03 02:12:21,378 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de5e38406924c290817')}
2025-06-03 02:12:21,556 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de5e38406924c290818')}
2025-06-03 02:12:21,681 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de5e38406924c290819')}
2025-06-03 02:12:21,783 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de5e38406924c29081a')}
2025-06-03 02:12:21,883 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de5e38406924c29081b')}
2025-06-03 02:12:22,056 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de6e38406924c29081c')}
2025-06-03 02:12:22,169 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de6e38406924c29081d')}
2025-06-03 02:12:22,657 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de6e38406924c29081e')}
2025-06-03 02:12:22,763 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de6e38406924c29081f')}
2025-06-03 02:12:25,397 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de9e38406924c290820')}
2025-06-03 02:12:25,521 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de9e38406924c290821')}
2025-06-03 02:12:25,624 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de9e38406924c290822')}
2025-06-03 02:12:25,729 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de9e38406924c290823')}
2025-06-03 02:12:25,845 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de9e38406924c290824')}
2025-06-03 02:12:25,941 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de9e38406924c290825')}
2025-06-03 02:12:26,050 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c290826')}
2025-06-03 02:12:26,154 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c290827')}
2025-06-03 02:12:26,271 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c290828')}
2025-06-03 02:12:26,387 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c290829')}
2025-06-03 02:12:26,496 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c29082a')}
2025-06-03 02:12:26,611 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c29082b')}
2025-06-03 02:12:26,718 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3deae38406924c29082c')}
